feature_id,name_use,modality,Broad_Group,gene_name,mz,rt,adduct,MSI_Level
"1,5-Anhydrosorbitol.M013A.3500","1,5-Anhydrosorbitol",metabolomics,Carbohydrate Metabolism,NA,163.0612153,6.434852879,[M-H]-,Level 2
"1,6-ANHYDRO-B-GLUCOSE.M013A.3417","1,6-Anhydro-B-Glucose",metabolomics,Carbohydrate Metabolism,NA,161.0455363,9.616071711,[M-H]-,Level 2
1-Aminocyclopropanecarboxylic acid.M013A.676,1-Aminocyclopropanecarboxylic acid,metabolomics,Amino Acid (Metabolism),NA,100.0403375,3.013993534,[M-H]-,Level 2
1-Isothiocyanatobutane.M012A.342,1-Isothiocyanatobutane,metabolomics,"Vitamins, Xenobiotics, Other",NA,116.0515036,1.659727211,[M+H]+,Level 2
1-Methyladenosine.M012A.3194,1-Methyladenosine (+),metabolomics,Nucleic Acid Metabolism,NA,282.118911,7.148498792,[M+H]+,Level 1
1-Methyladenosine.M013A.8855,1-Methyladenosine (-),metabolomics,Nucleic Acid Metabolism,NA,280.1036921,8.968149315,[M-H]-,Level 2
1-Methylhistidine.M013A.3638,1-Methylhistidine,metabolomics,Amino Acid (Modified),NA,168.0778443,8.373832031,[M-H]-,Level 1
1-Methylnicotinamide.M012A.726,1-Methylnicotinamide,metabolomics,"Vitamins, Xenobiotics, Other",NA,137.0708828,4.301933028,[M+H]+,Level 1
1-Phenyl-1-pentanone.M012A.1204,1-Phenyl-1-pentanone,metabolomics,"Vitamins, Xenobiotics, Other",NA,163.109758,6.826829102,[M+H]+,Level 1
1-Phenylethylamine.M012A.484,1-Phenylethylamine,metabolomics,Amino Acid (Metabolism),NA,122.0962723,1.209256381,[M+H]+,Level 1
10-Hydroxydecanoate.M013A.4623,10-Hydroxydecanoate,metabolomics,Lipid Metabolism,NA,187.1340289,1.843450212,[M-H]-,Level 1
12-Hydroxydodecanoic acid.M013A.6042,12-Hydroxydodecanoic acid,metabolomics,Lipid Metabolism,NA,215.1653381,1.818652686,[M-H]-,Level 1
2'-O-Methylcytidine.M012A.2834,2'-O-Methylcytidine,metabolomics,Nucleic Acid Metabolism,NA,258.1076357,2.216563374,[M+H]+,Level 2
2'-O-methylguanosine.M013A.9402,2'-O-methylguanosine,metabolomics,Nucleic Acid Metabolism,NA,296.0986138,9.220292497,[M-H]-,Level 2
"2,3-Pentanedione.M013A.658","2,3-Pentanedione",metabolomics,Amino Acid (Metabolism),NA,99.04514766,3.489814481,[M-H]-,Level 1
"2,4-DIHYDROXYBUTANOIC ACID.M013A.1565","2,4-Dihydroxybutanoic Acid",metabolomics,Amino Acid (Metabolism),NA,119.0349159,4.788642616,[M-H]-,Level 2
"2,6-Di-tert-butyl-4-hydroxymethylphenol.M013A.6928","2,6-Di-tert-butyl-4-hydroxymethylphenol",metabolomics,"Vitamins, Xenobiotics, Other",NA,235.1703287,1.826098006,[M-H]-,Level 1
2-Aminooctanoic acid.M012A.1173,2-Aminooctanoic acid (+),metabolomics,Amino Acid (Metabolism),NA,160.1330452,2.68437838,[M+H]+,Level 1
2-Aminooctanoic acid.M013A.3061,2-Aminooctanoic acid (-),metabolomics,Amino Acid (Metabolism),NA,158.1186181,8.580789813,[M-H]-,Level 2
2-Aminophenol.M012A.263,2-Aminophenol,metabolomics,Amino Acid (Metabolism),NA,110.0597852,1.300550474,[M+H]+,Level 1
2-Ethyl-2-hydroxybutyric acid.M013A.1789,2-Ethyl-2-hydroxybutyric acid,metabolomics,Amino Acid (Metabolism),NA,131.0713487,1.987782362,[M-H]-,Level 1
2-Furoic acid.M013A.1078,2-Furoic acid,metabolomics,"Vitamins, Xenobiotics, Other",NA,111.0086838,11.58115521,[M-H]-,Level 2
2-HYDROXYHEXANEDIOIC ACID.M013A.3418,2-Hydroxyhexanedioic Acid,metabolomics,Lipid Metabolism,NA,161.0455446,9.305770814,[M-H]-,Level 2
2-Hydroxy-2-methylbutyric acid.M013A.1230,2-Hydroxy-2-methylbutyric acid,metabolomics,Amino Acid (Metabolism),NA,117.0556465,3.484381412,[M-H]-,Level 1
2-Hydroxyglutarate.M013A.2646,2-Hydroxyglutarate,metabolomics,"Vitamins, Xenobiotics, Other",NA,147.0298786,10.23771602,[M-H]-,Level 1
2-METHYLGLUTARIC ACID.M013A.2538,2-Methylglutaric Acid,metabolomics,Amino Acid (Metabolism),NA,145.050585,3.4887409,[M-H]-,Level 2
